Name,UserId,Social Account,Gender,Score,Comments count,Followers,Followings,Posts count
nhatminhhp1999,61596a4a6171fc19b619d4d5,,male,50,18,8,0,6
abresolute,60ebe62e3583b555c24d4515,,female,359,0,99,0,27
VinhNguyen3,65d64002da477fce1eba6d60,,male,4,2,1,0,4
truongson,62dfc39d0668a9fb68111097,https://www.instagram.com/trggson/,male,580,111,224,8,39
Ellietran,65a1ff8667e2b8882b6032ff,https://www.facebook.com/profile.php?id=61558460008853,female,7,7,0,10,1
phuonghien,6445f35dc60cf5aaa39132d4,https://www.facebook.com/profile.php?id=100071720928229,female,34,2,3,1,12
AbeilleNguyen,64b4bc7b5144604269f452f0,https://www.facebook.com/AbeilleNguyen,male,22,14,1,13,2
hoangnguyenhaiser_0807,60ebe6a23583b555c24de910,,male,71,10,9,8,22
LeBao10,62d83a398ce53d08f5e02a98,,male,23,3,6,7,7
Vakama2003,63766a6dfe530dc8754284be,,unspecified,5,0,1,0,3
tamtaminlife,646b1e52709d7bf565443b8c,https://www.facebook.com/vutam.bella,female,109,9,15,0,21
tuan_le_nutshell,64edc6b8881b4c0f4306ec1d,https://www.facebook.com/nguyentuan.071001/,male,19,4,2,1,2
hungle2810,62b493853681267070572fe7,,male,30,6,15,3,16
huydh150104,60ebe70f3583b555c24e8310,,male,105,7,12,10,32
quanwq,63c2bb5419bbdf6da0de388d,,male,7,0,0,2,5
TrifanboymarvelDc,60ebe69b3583b555c24ddedc,,male,254,127,73,10,29
traceback,64ea592c72e74fcb3ab045c5,,male,6,1,6,2,1
udyduy,642644daf9d1e4e6cce9e2ce,,unspecified,8,9,0,1,1
xxsalinnxx,6426945cf9d1e4e6cce9e359,,female,39,12,6,0,17
AlexChristin,60ebe6383583b555c24d52c0,https://www.facebook.com/iamalexvu,male,2061,0,4648,0,55
TientotTiente,64bc924b5144604269f45953,,female,9,0,5,0,2
Hoang_Nam,60ebe6da3583b555c24e374e,,male,716,123,91,13,223
NguyenTheCong,629b64b7d098a7729bf8211c,https://www.facebook.com/SACHKINHDIEN,male,28,3,5,0,12
r4vendel,60ebe6c43583b555c24e189a,https://www.facebook.com/r4vendel,male,95,3,37,2,4
ahcalling,60ebe69e3583b555c24de304,,unspecified,385,33,132,3,20
dinhmao,6429d671f9d1e4e6cce9e732,,other,10,0,3,0,9
anhsang3,60ebe6cc3583b555c24e23a7,,female,25,6,3,8,11
ngothien,631e8e232c808edb0e682c12,,female,5,0,0,0,2
manh264,63062b540668a9fb68113876,,male,58,45,24,8,7
iamneyud,64b5070c5144604269f45372,https://www.facebook.com/iamneyudd,female,21,0,4,3,6
ng_qu_chi,62788430361cbb6709ca28cb,https://www.facebook.com/damcauchuyenxam/,female,140,42,17,0,9
nhigrowingup,640a8a0f2a0ebb610f4697de,,female,22,0,2,0,5
deanrazorbak,60ebe63b3583b555c24d5626,,male,4481,619,4898,1,32
sieuanhluu,63a867ca525ef24321b561f8,,female,26,5,6,1,3
11leven,66331cceda477fce1ebacb71,,unspecified,7,3,0,0,1
ilens20s,64453bb7c60cf5aaa391321d,,unspecified,6,1,0,0,5
dogiahuy,62c8db7dd2e114bfa045f643,,male,10,0,1,0,6
bi458bi458,6244445d0fac15a9f4e5264a,,male,26,10,6,1,10
trung2992003,60ebe6f93583b555c24e62fd,https://www.facebook.com/profile.php?id=100024847784927,male,65,62,1,10,5
vuquangdai9x,60ebe6ae3583b555c24dfa27,https://www.facebook.com/Vu.Quang.Dai.9x/,male,3,0,1,1,1
Hoang4attc,60ebe6df3583b555c24e3eb4,,male,112,48,18,8,19
simpleisnmarketing,6405d0f73c6df393ca38ce7d,,male,11,1,3,1,7
hienkasper,60ebe6ec3583b555c24e5194,,other,7,3,1,3,2
Julia_Nguyen,6465f9eb709d7bf5654437fd,https://www.facebook.com/Two-becomes-One-191793207990783,female,8,0,2,0,3
NTTNTPD,60ebe6bb3583b555c24e0b97,www.facebook.com/tran.phuongduy.14/,male,22,3,5,0,7
toanlt2004,64e85ea072e74fcb3ab0447b,,male,2,1,0,0,1
feltoirhaw mia,60ebe6b63583b555c24e04ef,,female,3,1,1,18,3
zecth2017,60ebe6773583b555c24dac24,,male,50,15,20,2,5
phongpham108,60ebe6b23583b555c24dff2b,,male,359,50,36,44,202
Vietanhvi214,611693361c6b0328e6cabe4c,,male,10,0,2,3,3
Huythong0810,60ebe65a3583b555c24d834f,https://www.facebook.com/huythong0810/,male,68,14,9,5,8
HuCaGi99,60ebe6de3583b555c24e3dfe,https://www.facebook.com/hcg.HuCaGi,female,49,11,16,1,17
meohanhtinh,62fb32a50668a9fb68112cd8,,unspecified,29,2,4,1,15
Grass99,62564a950fac15a9f4e5379d,,male,11,0,0,1,2
dustinanh,60ebe6593583b555c24d81cb,,male,70,48,9,15,3
Hanoikid99,60ebe6ac3583b555c24df6b1,https://www.facebook.com/khongphaipagedanhchoxinephile,male,39,8,10,1,5
notabadboiz,64cddcf85144604269f466f6,,male,7,0,1,0,2
Abcd2911,639611e04ce711f0ab2d18e5,,unspecified,7,0,1,0,1
msnjce0603,6399c586dbbe0e6ef77da8bf,,female,15,2,1,0,13
faiwarkute,61e7c2690fac15a9f4e4c7a1,,male,17,10,7,0,4
trambruhh,6333d01042f4358f4a937dac,,female,38,34,0,58,14
rosetran,651bddd94e1c1b06752299d4,https://www.facebook.com/profile.php?id=100056635260045,female,12,3,1,1,7
akwaabatung,651b9bfb4e1c1b0675229977,https://www.facebook.com/AkwaabaTung,male,10,0,10,0,4
lekhanh123,6447ce020f3fbb20914507ed,,male,111,17,12,2,17
skitbreh,630102320668a9fb681132db,,male,3,0,0,0,3
pnha2007,660ce8d5da477fce1ebaa501,,female,4,0,0,0,1
baoviet1993,61c6979147f5fe44138834c6,,male,18,0,3,1,22
chizurukaito,6142c126e8b89c7af2ffb549,,male,50,47,1,0,4
hyhoang,60ebe66a3583b555c24d98f2,,male,12,4,4,0,2
deankyoto,622f7a1a0fac15a9f4e51210,,male,57,3,5,2,12
